category_all_arts-mace_label	category_all_arts-mace_label_distribution	category_all_beauty-mace_label	category_all_beauty-mace_label_distribution	category_all_books-mace_label	category_all_books-mace_label_distribution	category_all_business-mace_label	category_all_business-mace_label_distribution	category_all_family-mace_label	category_all_family-mace_label_distribution	category_all_finance-mace_label	category_all_finance-mace_label_distribution	category_all_games-mace_label	category_all_games-mace_label_distribution	category_all_gastronomy-mace_label	category_all_gastronomy-mace_label_distribution	category_all_health-mace_label	category_all_health-mace_label_distribution	category_all_lifestyle-mace_label	category_all_lifestyle-mace_label_distribution	category_all_other-mace_label	category_all_other-mace_label_distribution	category_all_politics-mace_label	category_all_politics-mace_label_distribution	category_all_religion-mace_label	category_all_religion-mace_label_distribution	category_all_sports-mace_label	category_all_sports-mace_label_distribution	category_all_style-mace_label	category_all_style-mace_label_distribution	category_all_travel-mace_label	category_all_travel-mace_label_distribution	category_most_index-mace_label	category_most_index-mace_label_distribution	classify_account-mace_label	classify_account-mace_label_distribution	user_id
n	{'n': 0.999796255114038, 'y': 0.00020374488596201489}	n	{'n': 0.9999930064345067, 'y': 6.993565493322001e-06}	n	{'n': 0.9999962831267879, 'y': 3.716873212098682e-06}	n	{'n': 0.9999052239648104, 'y': 9.477603518959972e-05}	n	{'n': 0.9999903618264879, 'y': 9.638173511983549e-06}	n	{'n': 0.999999477497414, 'y': 5.225025858945494e-07}	n	{'n': 0.9999999597342785, 'y': 4.026572150981877e-08}	n	{'n': 0.9999889429830836, 'y': 1.1057016916466386e-05}	n	{'n': 0.9999955996928412, 'y': 4.4003071587768435e-06}	n	{'n': 0.999999959953561, 'y': 4.004643906999549e-08}	n	{'n': 0.9999387627953672, 'y': 6.123720463276724e-05}	n	{'n': 0.9999999598011305, 'y': 4.019886944500354e-08}	n	{'n': 0.9999999600994097, 'y': 3.990059034675415e-08}	n	{'n': 0.9999982837011795, 'y': 1.7162988204881893e-06}	n	{'n': 0.9999820975873586, 'y': 1.7902412641323416e-05}	y	{'y': 0.9991666547981317, 'n': 0.0008333452018682734}	travel	{'travel': 0.9999433337577545, 'arts': 4.358941711174736e-06, 'family': 4.358941711174736e-06, 'style': 4.358941711174736e-06, 'games': 4.358941711174736e-06, 'science and technology': 4.358941711174736e-06, 'books': 4.358941711174736e-06, 'gastronomy': 4.358941711174736e-06, 'health': 4.358941711174736e-06, 'sports': 4.358941711174736e-06, 'beauty': 4.358941711174736e-06, 'business': 4.358941711174736e-06, 'other': 4.358941711174736e-06, 'politics': 4.358941711174736e-06}	promoting	{'promoting': 0.9984368353788935, 'personal': 0.0005210548737022459, 'missing': 0.0005210548737022459, 'non_english': 0.0005210548737022459}	864447208854343680
n	{'n': 0.990885813196314, 'y': 0.009114186803686001}	n	{'n': 0.999858858361837, 'y': 0.00014114163816304534}	n	{'n': 0.9999991256414905, 'y': 8.743585094110783e-07}	n	{'n': 0.9989124773815903, 'y': 0.0010875226184097434}	n	{'n': 0.99997990591212, 'y': 2.0094087879983107e-05}	n	{'n': 0.9999991417292279, 'y': 8.582707721551481e-07}	n	{'n': 0.9999991434500675, 'y': 8.565499325765369e-07}	n	{'n': 0.9999991610265307, 'y': 8.389734691628989e-07}	n	{'n': 0.9998770142691121, 'y': 0.00012298573088780616}	n	{'n': 0.9999990898053428, 'y': 9.101946571192449e-07}	y	{'y': 0.9995778395508653, 'n': 0.00042216044913468196}	n	{'n': 0.9999982201402275, 'y': 1.7798597724336452e-06}	n	{'n': 0.999991025616932, 'y': 8.974383068051156e-06}	n	{'n': 0.9999988075113824, 'y': 1.192488617653991e-06}	n	{'n': 0.9999990652400761, 'y': 9.347599239512047e-07}	n	{'n': 0.9999691996601103, 'y': 3.080033988965583e-05}	other	{'other': 0.9293822273243278, 'business': 0.05455896139324743, 'arts': 0.0013382342735353285, 'family': 0.0013382342735353285, 'travel': 0.0013382342735353285, 'style': 0.0013382342735353285, 'games': 0.0013382342735353285, 'science and technology': 0.0013382342735353285, 'books': 0.0013382342735353285, 'gastronomy': 0.0013382342735353285, 'health': 0.0013382342735353285, 'sports': 0.0013382342735353285, 'beauty': 0.0013382342735353285, 'politics': 0.0013382342735353285}	promoting	{'promoting': 0.9999836992011595, 'personal': 5.433599613555292e-06, 'missing': 5.433599613555292e-06, 'non_english': 5.433599613555292e-06}	832214801677840385
n	{'n': 0.9999999999980085, 'y': 1.9915822774647845e-12}	n	{'n': 0.9986008287347954, 'y': 0.0013991712652045372}	n	{'n': 0.9999999999999699, 'y': 3.001901739871987e-14}	n	{'n': 0.9999990008832068, 'y': 9.991167931756727e-07}	n	{'n': 0.9999999999121121, 'y': 8.788791337953647e-11}	n	{'n': 0.9999999000677973, 'y': 9.993220277543241e-08}	n	{'n': 0.999999999999972, 'y': 2.791569403540586e-14}	n	{'n': 0.9999999999999073, 'y': 9.26347125537218e-14}	n	{'n': 0.9999999999939451, 'y': 6.0549040712895835e-12}	n	{'n': 0.9999999999999939, 'y': 6.175299940193464e-15}	y	{'y': 0.999492573786678, 'n': 0.0005074262133220002}	n	{'n': 0.9999999999553005, 'y': 4.4699413841520204e-11}	n	{'n': 0.9999999999999648, 'y': 3.520252569454265e-14}	n	{'n': 0.9999999999996549, 'y': 3.449881894865276e-13}	n	{'n': 0.9999999606370358, 'y': 3.9362964264732215e-08}	n	{'n': 0.9999993210379163, 'y': 6.789620835637719e-07}	business	{'business': 0.6860052274984876, 'other': 0.20644105908941196, 'science and technology': 0.1038240932131336, 'politics': 0.0011707409381443304, 'arts': 0.00025588792608228236, 'family': 0.00025588792608228236, 'travel': 0.00025588792608228236, 'style': 0.00025588792608228236, 'games': 0.00025588792608228236, 'books': 0.00025588792608228236, 'gastronomy': 0.00025588792608228236, 'health': 0.00025588792608228236, 'sports': 0.00025588792608228236, 'beauty': 0.00025588792608228236}	promoting	{'promoting': 0.9999998679349719, 'personal': 8.386460511416822e-08, 'missing': 2.410021153150491e-08, 'non_english': 2.410021153150491e-08}	953893514328223744
n	{'n': 0.9999994885188901, 'y': 5.114811099109512e-07}	n	{'n': 0.9784535716119216, 'y': 0.02154642838807842}	n	{'n': 0.9999999979975698, 'y': 2.002430159787174e-09}	n	{'n': 0.9999998672649273, 'y': 1.327350726323877e-07}	n	{'n': 0.9999931534951036, 'y': 6.8465048964281095e-06}	n	{'n': 0.9999999969444772, 'y': 3.055522856457206e-09}	n	{'n': 0.9999999997460017, 'y': 2.5399822066511446e-10}	n	{'n': 0.9999999711258906, 'y': 2.887410943895565e-08}	n	{'n': 0.9999990646661379, 'y': 9.353338621611393e-07}	n	{'n': 0.9999999975891863, 'y': 2.4108136414837767e-09}	n	{'n': 0.9995616832685048, 'y': 0.0004383167314951856}	n	{'n': 0.9999999933512412, 'y': 6.6487587002137175e-09}	n	{'n': 0.9999999996587554, 'y': 3.412445490912926e-10}	n	{'n': 0.9999999996132823, 'y': 3.867176959069174e-10}	y	{'y': 0.9999912669097182, 'n': 8.733090281922054e-06}	n	{'n': 0.9986496074309353, 'y': 0.001350392569064598}	style	{'style': 0.9999759502387104, 'arts': 1.8499816376208928e-06, 'family': 1.8499816376208928e-06, 'travel': 1.8499816376208928e-06, 'games': 1.8499816376208928e-06, 'science and technology': 1.8499816376208928e-06, 'books': 1.8499816376208928e-06, 'gastronomy': 1.8499816376208928e-06, 'health': 1.8499816376208928e-06, 'sports': 1.8499816376208928e-06, 'beauty': 1.8499816376208928e-06, 'business': 1.8499816376208928e-06, 'other': 1.8499816376208928e-06, 'politics': 1.8499816376208928e-06}	promoting	{'promoting': 0.9995122858402997, 'personal': 0.0004535337064079766, 'non_english': 1.7134820901624843e-05, 'missing': 1.7045632390635748e-05}	941645200518189056
n	{'n': 0.9999959924664267, 'y': 4.007533573399464e-06}	n	{'n': 0.9999827001845843, 'y': 1.729981541570011e-05}	n	{'n': 0.9999999999818898, 'y': 1.811018521822887e-11}	n	{'n': 0.9999999999159919, 'y': 8.400813562587307e-11}	n	{'n': 0.9920163990898525, 'y': 0.007983600910147432}	n	{'n': 0.9999999999799533, 'y': 2.004673067018832e-11}	n	{'n': 0.9999999999670179, 'y': 3.298216883248312e-11}	n	{'n': 0.9999999980671801, 'y': 1.9328199969720863e-09}	n	{'n': 0.9999999980395442, 'y': 1.9604557629508107e-09}	n	{'n': 0.9999999999836503, 'y': 1.6349762181381688e-11}	n	{'n': 0.9999937842624533, 'y': 6.215737546726041e-06}	n	{'n': 0.999999999997853, 'y': 2.1469601366334096e-12}	n	{'n': 0.9999999999982098, 'y': 1.7902086941963756e-12}	n	{'n': 0.999999999998155, 'y': 1.844956807671382e-12}	n	{'n': 0.999999653365127, 'y': 3.466348730586915e-07}	y	{'y': 0.9999910626735762, 'n': 8.93732642378279e-06}	travel	{'travel': 0.9963260010614571, 'family': 0.003642390585966407, 'arts': 2.6340293813197705e-06, 'style': 2.6340293813197705e-06, 'games': 2.6340293813197705e-06, 'science and technology': 2.6340293813197705e-06, 'books': 2.6340293813197705e-06, 'gastronomy': 2.6340293813197705e-06, 'health': 2.6340293813197705e-06, 'sports': 2.6340293813197705e-06, 'beauty': 2.6340293813197705e-06, 'business': 2.6340293813197705e-06, 'other': 2.6340293813197705e-06, 'politics': 2.6340293813197705e-06}	promoting	{'promoting': 0.9999991568607031, 'personal': 4.490454759972718e-07, 'non_english': 1.9756107334335548e-07, 'missing': 1.965327475696539e-07}	907824432760139781
n	{'n': 0.9747406247858446, 'y': 0.025259375214155406}	y	{'y': 0.7109985319662246, 'n': 0.2890014680337754}	n	{'n': 0.9999949800962303, 'y': 5.019903769696269e-06}	n	{'n': 0.999994842971408, 'y': 5.157028591995394e-06}	n	{'n': 0.9686036609682229, 'y': 0.03139633903177706}	n	{'n': 0.9999950432500088, 'y': 4.956749991160672e-06}	n	{'n': 0.999941868867568, 'y': 5.813113243199175e-05}	n	{'n': 0.9099349141656133, 'y': 0.09006508583438672}	n	{'n': 0.9971515022842007, 'y': 0.002848497715799317}	n	{'n': 0.9999400212223595, 'y': 5.997877764047104e-05}	n	{'n': 0.5342642691902497, 'y': 0.4657357308097502}	n	{'n': 0.9990821246706503, 'y': 0.0009178753293496977}	n	{'n': 0.9999950465707147, 'y': 4.953429285331018e-06}	n	{'n': 0.9999934450221216, 'y': 6.5549778784745734e-06}	n	{'n': 0.8100131574338922, 'y': 0.18998684256610782}	y	{'y': 0.7217203053408232, 'n': 0.27827969465917685}	beauty	{'beauty': 0.5038365232551766, 'arts': 0.03816642128806334, 'family': 0.03816642128806334, 'travel': 0.03816642128806334, 'style': 0.03816642128806334, 'games': 0.03816642128806334, 'science and technology': 0.03816642128806334, 'books': 0.03816642128806334, 'gastronomy': 0.03816642128806334, 'health': 0.03816642128806334, 'sports': 0.03816642128806334, 'business': 0.03816642128806334, 'other': 0.03816642128806334, 'politics': 0.03816642128806334}	missing	{'missing': 0.9247305901458596, 'promoting': 0.033897220525904895, 'personal': 0.023146539124168614, 'non_english': 0.018225650204066843}	974909913284730881
n	{'n': 0.9927384049918976, 'y': 0.00726159500810248}	n	{'n': 0.9982033217685663, 'y': 0.0017966782314336144}	n	{'n': 0.9999909692039463, 'y': 9.03079605373976e-06}	n	{'n': 0.9996425023717747, 'y': 0.0003574976282254111}	n	{'n': 0.9927827442753042, 'y': 0.007217255724695702}	n	{'n': 0.999991296738858, 'y': 8.703261141956918e-06}	n	{'n': 0.9999912708155458, 'y': 8.729184454205057e-06}	n	{'n': 0.9139873255703763, 'y': 0.08601267442962367}	n	{'n': 0.999214258859794, 'y': 0.0007857411402059975}	n	{'n': 0.9999872850722571, 'y': 1.2714927742935295e-05}	n	{'n': 0.6690039234556115, 'y': 0.33099607654438845}	n	{'n': 0.9980129692060008, 'y': 0.0019870307939992638}	n	{'n': 0.9999913018838973, 'y': 8.698116102707544e-06}	n	{'n': 0.9997922918538386, 'y': 0.00020770814616142096}	n	{'n': 0.7564811618495042, 'y': 0.2435188381504958}	n	{'n': 0.9769381475936159, 'y': 0.0230618524063842}	other	{'other': 0.22480872100621888, 'arts': 0.059630098384137, 'family': 0.059630098384137, 'travel': 0.059630098384137, 'style': 0.059630098384137, 'games': 0.059630098384137, 'science and technology': 0.059630098384137, 'books': 0.059630098384137, 'gastronomy': 0.059630098384137, 'health': 0.059630098384137, 'sports': 0.059630098384137, 'beauty': 0.059630098384137, 'business': 0.059630098384137, 'politics': 0.059630098384137}	personal	{'personal': 0.9998866339587129, 'promoting': 8.6861476415792e-05, 'missing': 1.3252282435690923e-05, 'non_english': 1.3252282435690923e-05}	907287582219915265
n	{'n': 0.9999997486440994, 'y': 2.51355900710541e-07}	n	{'n': 0.9805431674739987, 'y': 0.01945683252600129}	n	{'n': 0.9999999915499933, 'y': 8.450006681450424e-09}	n	{'n': 0.9999999946768775, 'y': 5.3231225083840604e-09}	n	{'n': 0.999977174926092, 'y': 2.282507390807673e-05}	n	{'n': 0.9999999936141991, 'y': 6.385800854520034e-09}	n	{'n': 0.9999999922482681, 'y': 7.751731938586309e-09}	n	{'n': 0.9999999901373916, 'y': 9.862608414013331e-09}	n	{'n': 0.999999923644189, 'y': 7.635581096502961e-08}	n	{'n': 0.9999999982490739, 'y': 1.750926172558579e-09}	n	{'n': 0.9954336458114057, 'y': 0.004566354188594315}	n	{'n': 0.9999899741771768, 'y': 1.002582282304124e-05}	n	{'n': 0.9999999129649613, 'y': 8.703503875638498e-08}	n	{'n': 0.9999944573934043, 'y': 5.542606595628264e-06}	n	{'n': 0.9983286334534502, 'y': 0.0016713665465498682}	y	{'y': 0.9976845357119494, 'n': 0.002315464288050666}	travel	{'travel': 0.962960545374593, 'other': 0.024265516523345722, 'sports': 0.0011260562932090155, 'arts': 0.0010588983462592612, 'family': 0.0010588983462592612, 'style': 0.0010588983462592612, 'games': 0.0010588983462592612, 'science and technology': 0.0010588983462592612, 'books': 0.0010588983462592612, 'gastronomy': 0.0010588983462592612, 'health': 0.0010588983462592612, 'beauty': 0.0010588983462592612, 'business': 0.0010588983462592612, 'politics': 0.0010588983462592612}	promoting	{'promoting': 0.9980433612969932, 'personal': 0.0014795613607161686, 'missing': 0.00023853867114524872, 'non_english': 0.00023853867114524872}	994926632086523904
n	{'n': 0.9999884778099052, 'y': 1.1522190094902702e-05}	n	{'n': 0.9999994012949405, 'y': 5.987050594642859e-07}	n	{'n': 0.9999999999974822, 'y': 2.517718220277503e-12}	n	{'n': 0.9999999935185753, 'y': 6.481424722805243e-09}	n	{'n': 0.9999999923580443, 'y': 7.641955698970518e-09}	n	{'n': 0.9999999999994637, 'y': 5.363254050227906e-13}	n	{'n': 0.999999999998915, 'y': 1.0850466887218074e-12}	n	{'n': 0.999999999999994, 'y': 6.020894151630008e-15}	n	{'n': 0.9999999999237579, 'y': 7.624223069885904e-11}	n	{'n': 0.9999999999985769, 'y': 1.423035767100834e-12}	y	{'y': 0.9708722978457637, 'n': 0.02912770215423626}	n	{'n': 0.9999999999987972, 'y': 1.202792733708182e-12}	n	{'n': 0.9999999999999247, 'y': 7.521061436911753e-14}	n	{'n': 0.9999999999990823, 'y': 9.177185458003984e-13}	n	{'n': 0.9999999856524938, 'y': 1.4347506178077403e-08}	y	{'y': 0.9999315387181805, 'n': 6.846128181944547e-05}	travel	{'travel': 0.9999120200501606, 'arts': 8.262780676638899e-05, 'other': 3.794020373778324e-06, 'family': 1.4164751815052363e-07, 'style': 1.4164751815052363e-07, 'games': 1.4164751815052363e-07, 'science and technology': 1.4164751815052363e-07, 'books': 1.4164751815052363e-07, 'gastronomy': 1.4164751815052363e-07, 'health': 1.4164751815052363e-07, 'sports': 1.4164751815052363e-07, 'beauty': 1.4164751815052363e-07, 'business': 1.4164751815052363e-07, 'politics': 1.4164751815052363e-07}	promoting	{'promoting': 0.9999999796126414, 'missing': 8.808472012997292e-09, 'personal': 5.790784337166389e-09, 'non_english': 5.788102219418433e-09}	948396198389362688
n	{'n': 0.9999998026330513, 'y': 1.9736694860990734e-07}	n	{'n': 0.9999999873106776, 'y': 1.2689322281215682e-08}	n	{'n': 1.0, 'y': 3.676135374179855e-17}	n	{'n': 0.9998718408522566, 'y': 0.00012815914774336364}	n	{'n': 0.9999999999993764, 'y': 6.235551338951214e-13}	n	{'n': 1.0, 'y': 9.780547091777341e-18}	n	{'n': 1.0, 'y': 1.1362436580326751e-18}	n	{'n': 0.9999999999999997, 'y': 3.4210615595407614e-16}	n	{'n': 0.9999999999948059, 'y': 5.194001210265114e-12}	n	{'n': 1.0, 'y': 2.5500862102013606e-17}	n	{'n': 0.9976795377432899, 'y': 0.002320462256710103}	n	{'n': 0.9999999999999964, 'y': 3.555932540881944e-15}	n	{'n': 1.0, 'y': 1.1178131022915483e-17}	n	{'n': 0.9999999999999992, 'y': 6.670133617125421e-16}	n	{'n': 0.9999999998738763, 'y': 1.2612368329700231e-10}	n	{'n': 0.9999999991902515, 'y': 8.097484730226084e-10}	business	{'business': 0.9997967767032718, 'other': 0.0001983536312180647, 'health': 1.7992624442648685e-06, 'arts': 1.2915969109835563e-06, 'family': 1.778806154334468e-07, 'travel': 1.778806154334468e-07, 'style': 1.778806154334468e-07, 'games': 1.778806154334468e-07, 'science and technology': 1.778806154334468e-07, 'books': 1.778806154334468e-07, 'gastronomy': 1.778806154334468e-07, 'sports': 1.778806154334468e-07, 'beauty': 1.778806154334468e-07, 'politics': 1.778806154334468e-07}	promoting	{'promoting': 0.9999999999997681, 'personal': 1.854658518788653e-13, 'missing': 2.3211154617588903e-14, 'non_english': 2.3211154617588903e-14}	825888443620286465
