,WorkerId,mean,median,num_assignments,non_promoting,other_no_text,did_not_complete
72,A13CLN8L5HFT46,44.625,40.5,16,43.75,0.0,0.0
71,A3K1SXZ0FSJW1M,37.857142857142854,31.0,21,57.142857142857146,0.0,0.0
70,A1NOFP5DV5S7DW,62.27272727272727,58.5,22,54.54545454545455,0.0,0.0
69,A1WS884SI0SLO4,23.545454545454547,21.0,44,34.09090909090909,0.0,0.0
68,A23KAJRDVCVGOE,371.4758064516129,387.5,124,49.193548387096776,0.0,2.4193548387096775
67,ABMPX2Y2IRBMG,573.0,591.0,84,46.42857142857143,0.0,0.0
66,A1YI1H05AQ3ING,38.810344827586206,18.0,58,29.310344827586206,0.0,0.0
65,A2EOOF9D135HQ1,573.8684210526316,604.0,38,57.89473684210527,0.0,0.0
64,AMYURTQIMAC8T,52.431372549019606,33.0,51,27.450980392156865,0.0,0.0
63,A9HVFM0YUY00Q,49.27272727272727,28.0,55,47.27272727272728,0.0,1.8181818181818181
62,A161AJDHLJVCLZ,35.17948717948718,32.0,39,30.769230769230774,0.0,0.0
61,A2UVJMJV1EOH9X,655.4583333333334,693.5,24,54.16666666666667,0.0,0.0
60,A3GE7CHWBLELVD,38.8,34.0,5,40.0,0.0,0.0
59,AKSJ3C5O3V9RB,278.6666666666667,29.0,3,66.66666666666667,0.0,0.0
58,A2HWC65YAL6MHK,77.0,77.0,2,0.0,0.0,0.0
57,A3TUV36R7RR04T,504.43589743589746,531.0,39,48.71794871794872,0.0,0.0
56,A1L2N1X8U8Z3W7,308.1034482758621,292.0,29,51.724137931034484,0.0,0.0
55,A2A0M8N8ZCZBBL,492.0882352941176,573.5,34,50.0,0.0,0.0
54,A2P76QVLSGJR45,34.128571428571426,21.0,70,12.857142857142861,0.0,0.0
53,A1QUOTZEN3BNVF,34.541666666666664,20.5,24,37.5,0.0,0.0
52,A2N60SO0ZII36H,27.147058823529413,27.0,34,20.588235294117652,0.0,0.0
51,A2QUXO9OJY69QM,16.94736842105263,12.0,38,63.15789473684211,0.0,0.0
50,AAOQXV6U0E0JX,18.875,14.5,8,75.0,0.0,0.0
49,A39PWM9C4U0TEP,25.605263157894736,23.0,38,36.8421052631579,0.0,2.6315789473684212
48,A1DY3EW6Q0B5K5,46.16949152542373,17.0,59,61.016949152542374,0.0,1.694915254237288
47,A31K86DSKJQZ02,87.16666666666667,67.0,6,66.66666666666667,0.0,0.0
46,AXHDHGJRFHMRR,50.785714285714285,51.5,14,7.142857142857139,0.0,0.0
45,A1Z6F6EIUJFC6T,48.31578947368421,38.0,38,34.210526315789465,0.0,0.0
44,A1HA15VCWUJ6BI,165.6,98.0,5,0.0,0.0,0.0
43,A2VR0KBCWPY8E1,51.90909090909091,50.0,11,27.272727272727266,0.0,0.0
42,A1RC17FXGMK03J,55.6,40.0,35,25.714285714285708,0.0,0.0
41,A1QDDGYC5UB9YA,30.0,16.0,8,50.0,0.0,0.0
40,A2G5GGLXD2KSZS,34.1,28.5,20,50.0,0.0,0.0
39,A1SOLLV4X7XQ0U,65.625,81.0,16,56.25,0.0,0.0
38,A1PTYKTGNRL1V9,128.0,111.5,4,75.0,0.0,0.0
37,A2RYRS301XIZZD,40.0,40.0,1,0.0,0.0,0.0
36,A31XT6RPLN6359,56.5,41.0,4,25.0,0.0,0.0
35,A38WZEK3MZXR3Q,24.0,24.0,2,50.0,0.0,0.0
34,A1C8FN01981A69,44.76923076923077,31.0,26,26.923076923076934,0.0,3.8461538461538463
33,A2SBISQJE2ZPJQ,44.2,37.0,5,60.0,0.0,0.0
32,A36D1YU9L1AF0Y,81.75,79.0,8,75.0,0.0,0.0
31,A1ZD8RU6YB0VEU,18.4,14.0,15,40.0,0.0,0.0
30,A2541C8MY0BYV3,14.636363636363637,12.0,33,57.57575757575758,0.0,0.0
29,A2APHZ2KOI1MPI,78.66666666666667,31.0,3,0.0,0.0,0.0
28,A610SH5RY1NG1,89.66666666666667,15.0,15,33.33333333333334,0.0,0.0
27,A5N6QK76RTR7R,32.0,27.0,6,33.33333333333334,0.0,0.0
26,A1L6PGLE7CIS12,129.66666666666666,136.0,3,0.0,0.0,0.0
25,A1AMGHYG5PT0L2,94.0,94.0,2,0.0,0.0,0.0
24,A9WGDBDXUNLOD,59.0,56.5,4,50.0,0.0,0.0
23,A2SLF9OF59T7ZQ,138.55555555555554,43.0,9,22.222222222222214,0.0,0.0
22,A18O3DEA5Z4MJD,116.5,116.5,2,0.0,0.0,0.0
21,A3GLUDQZGEJL5G,91.25,69.0,4,50.0,0.0,0.0
20,A3D02QDO5Y2SJB,128.8,120.0,5,60.0,0.0,0.0
19,A3AW887GI0NLKF,67.66666666666667,61.0,3,33.33333333333334,0.0,0.0
18,A69RCROHR33S9,60.0,60.0,1,0.0,0.0,0.0
17,A3O8YXPG1HGUH0,284.0,85.0,3,66.66666666666667,0.0,0.0
16,A340UGIDGIF4W6,31.583333333333332,28.5,12,25.0,0.0,0.0
15,A6E9MF642WUOE,38.0,38.0,1,0.0,0.0,0.0
14,A3GNQDFPZALU92,243.8,249.0,5,40.0,0.0,0.0
13,A3QZMGTVA4VO44,198.0,198.0,1,0.0,0.0,0.0
12,A10BH9PYCYUKDJ,99.5,99.5,2,50.0,0.0,0.0
11,AADK5GNQ1EF44,93.0,84.0,7,0.0,0.0,0.0
10,ATUY1BTU5BQDE,20.0,20.0,2,50.0,0.0,0.0
9,A182YKPS46KE9F,90.25,82.0,4,75.0,0.0,0.0
8,A1KEAHVVML6319,92.0,92.0,1,0.0,0.0,0.0
7,A2M69KR2XWUBOZ,40.333333333333336,35.0,3,66.66666666666667,0.0,0.0
6,A1ZKU2V6PQEARN,40.0,40.0,1,0.0,0.0,0.0
5,A3U0VQ420HIMQ0,38.8,45.0,5,80.0,0.0,0.0
4,AAAL4RENVAPML,183.0,104.0,3,0.0,0.0,0.0
3,AADRVG2QVZH75,117.0,117.0,1,0.0,0.0,0.0
2,A2BQZBY3YNANFE,27.0,27.0,1,0.0,0.0,0.0
1,A1823B3S2PJMGQ,47.0,47.0,1,0.0,0.0,0.0
