,WorkerId,mean,median,num_assignments,non_promoting,other_no_text,did_not_complete
62,A24N3MXA2ILHA2,221.9090909090909,39.0,99,88.88888888888889,0.0,0.0
61,A75NFL7PFMSC4,52.89430894308943,18.0,492,3.0487804878048763,0.0,0.0
60,AQ3KPKZ6UIYPF,66.22916666666667,41.0,48,20.833333333333343,0.0,0.0
59,A2UVJMJV1EOH9X,147.49122807017545,60.0,114,26.31578947368422,0.0,0.0
58,AR8O1107OAW4V,396.171875,347.0,128,21.875,0.0,0.0
57,AMA18W8F60Y2J,597.8888888888889,644.0,63,28.57142857142857,0.0,1.5873015873015872
56,AUI3R928P63B0,272.05607476635515,263.0,107,16.822429906542055,0.0,0.0
55,A386LEGILH8GJC,69.84615384615384,18.0,13,69.23076923076923,0.0,0.0
54,A13AA4ZKU2F2D0,461.11538461538464,520.0,52,44.230769230769226,0.0,0.0
53,A1QDQU3TJHQYAU,24.15,21.0,20,55.0,0.0,0.0
52,A2HLN881PZEDF3,34.5,28.0,48,50.0,0.0,2.0833333333333335
51,A1591LK9JIOJU1,17.64,14.0,50,46.0,0.0,4.0
50,A1P0ZI5OQRH0RV,445.34375,489.5,32,68.75,0.0,3.125
49,A1HI3OYEBN9UZJ,67.625,54.0,16,43.75,0.0,0.0
48,A2G5GGLXD2KSZS,258.984375,66.0,64,40.625,0.0,0.0
47,A2MFMT03E21ZIT,19.0,19.0,1,0.0,0.0,0.0
46,A2UTXOZIWEOF18,71.15384615384616,57.0,13,46.15384615384615,0.0,0.0
45,A2QHONSJA8BAL7,99.0,71.0,20,44.99999999999999,0.0,5.0
44,A2J37FCRL0S479,27.580645161290324,25.0,31,48.38709677419355,19.35483870967742,0.0
43,A22SF4E1TDPAY6,128.2,86.0,25,64.0,0.0,0.0
42,A11K4HY613LGHX,35.529411764705884,28.0,85,2.352941176470594,0.0,0.0
41,AXHDHGJRFHMRR,38.10344827586207,33.0,58,34.48275862068965,0.0,0.0
40,A2PJAR334LPELC,52.333333333333336,58.0,3,66.66666666666667,0.0,0.0
39,AJAPJJTISC36L,11.6,10.5,20,50.0,0.0,0.0
38,A2HWC65YAL6MHK,56.27777777777778,51.0,18,11.111111111111114,0.0,0.0
37,A1WGEJVGY3DI13,28.4,24.0,80,36.25000000000001,0.0,0.0
36,A3ON3DL1CKGN4E,15.25,8.0,20,80.0,0.0,0.0
35,A33WP9IUW25VI8,54.0,54.0,1,0.0,0.0,0.0
34,AFU00NU09CFXE,230.5,170.5,6,0.0,0.0,0.0
33,A2PJBSDDN22XIX,33.73913043478261,33.0,23,47.82608695652174,0.0,0.0
32,A8E99XNOTT390,60.857142857142854,47.0,7,42.85714285714286,0.0,0.0
31,A340UGIDGIF4W6,27.595744680851062,16.0,47,61.702127659574465,0.0,0.0
30,A3EL0EEIRKNWZW,50.375,42.0,48,43.75,0.0,20.833333333333332
29,A1U8AZKMWLKAQF,56.22222222222222,45.0,18,44.44444444444444,0.0,16.666666666666668
28,A1EN9IMH5K6QQ6,182.86666666666667,136.0,15,46.666666666666664,0.0,0.0
27,APJJ1HHD2GGFS,82.5,82.5,2,0.0,0.0,0.0
26,A2VLOL5DA4M2T1,32.21739130434783,25.0,23,21.73913043478261,0.0,0.0
25,A15RNM75ICEC05,15.2,12.5,20,20.0,45.0,0.0
24,A2I3Y0L38HMQLZ,87.6,53.0,5,0.0,0.0,0.0
23,A2AW84LKJU1EO8,248.0,187.0,3,33.33333333333334,0.0,0.0
22,A3V5IIPZ95YVKH,39.0,24.0,3,66.66666666666667,0.0,0.0
21,A29CFB4UMZU2TH,69.0,42.0,3,66.66666666666667,0.0,0.0
20,A13GUTDMGGZZDL,49.0,38.0,3,0.0,0.0,0.0
19,AMUZ8VMNP6L2A,43.0,43.0,1,0.0,0.0,0.0
18,A3W0C04EXOY12C,17.6,20.0,5,60.0,0.0,0.0
17,A29BBKY7P7CWZ,68.5,68.5,2,0.0,0.0,0.0
16,A1VTU08JAJVMTK,87.5,77.0,4,0.0,50.0,0.0
15,A1C8WBVVWQ3215,101.0,101.0,2,50.0,0.0,0.0
14,A15WCNO32MHBAF,50.0,50.0,1,0.0,0.0,0.0
13,A26MN6JIKD4NXU,125.0,125.0,2,0.0,0.0,0.0
12,A1OSRAPSRT934Z,119.0,119.0,1,0.0,0.0,0.0
11,A23C0K84LJ5ZV3,13.0,13.0,1,0.0,0.0,0.0
10,A12H9WVHOB0E0O,111.0,111.0,1,0.0,0.0,0.0
9,A2S834OHCORO1W,104.0,104.0,1,0.0,0.0,0.0
8,AKSJ3C5O3V9RB,854.3333333333334,871.0,3,33.33333333333334,0.0,0.0
7,A3SCM7PCCL3HYR,43.0,43.0,1,0.0,0.0,0.0
6,A2J9ZWDTAFJW65,25.0,25.0,1,0.0,0.0,0.0
5,AJXWXKU4SX70U,98.0,98.0,2,0.0,0.0,0.0
4,A9EQ4FWCUQVBL,192.0,192.0,1,0.0,0.0,0.0
3,A3RAL81XKTKNMS,10.0,10.0,1,0.0,0.0,0.0
2,A1QDDGYC5UB9YA,61.5,61.5,2,0.0,0.0,0.0
1,A23XKKMJYMEMU8,28.0,28.0,1,0.0,0.0,0.0
