,WorkerId,mean,median,non_promoting
56,A2439BKIPTF3QK,236.55555555555554,235.0,tbd
55,A23KAJRDVCVGOE,445.6666666666667,444.0,tbd
54,AGNJKSH5LFKXZ,29.666666666666668,36.0,tbd
53,A14M2EERU7E8KD,665.0,634.0,tbd
52,ABMPX2Y2IRBMG,515.44,519.0,tbd
51,APMGE1034C1LB,95.0,95.0,tbd
50,AUI3R928P63B0,380.0,405.5,tbd
49,A1DXFMUVK5015A,498.825,498.5,tbd
48,AW4AHMQ7EN4QI,292.6666666666667,200.0,tbd
47,A3I7BF8W78FQYA,21.5625,19.5,tbd
46,A39PWM9C4U0TEP,46.0,38.0,tbd
45,A19247CJ07E317,40.5,40.5,tbd
44,A1FVXS8IM5QYO8,37.5,37.5,tbd
43,APYWB56GNX851,220.66666666666666,242.0,tbd
42,A234Z7NV6LB4Z1,46.666666666666664,48.0,tbd
41,AURYD2FH3FUOQ,380.5,380.5,tbd
40,A2QUXO9OJY69QM,32.0,23.0,tbd
39,A1KR3HNLXSLC10,54.5,54.5,tbd
38,A386Z4C9OW1BMI,61.0,61.0,tbd
37,ARIBVG7WV64QM,44.0,44.0,tbd
36,A2LYW6MLZN3CU8,158.25,134.0,tbd
35,ARYVMA9T9WLRK,104.0,104.0,tbd
34,AKSJ3C5O3V9RB,267.0,267.0,tbd
33,A2MWYYKPY2JZ8B,210.5,210.5,tbd
32,A1P7ZED14W8QPK,452.85714285714283,481.0,tbd
31,A3IR0FAD3DSHNC,51.375,33.5,tbd
30,A2L26DMSVUEDP6,115.0,115.0,tbd
29,A5PZQM7LV2L0F,55.0,62.0,tbd
28,APGX2WZ59OWDN,45.0,45.0,tbd
27,A1YCGICA8XCNBH,236.0,236.0,tbd
26,A2RU9Q0EQVE821,285.5,285.5,tbd
25,AK92XFC67MMSB,12.0,12.0,tbd
24,A2OB282NWBP5N2,76.0,76.0,tbd
23,A2MV1325939NBM,113.33333333333333,61.0,tbd
22,A2WPHVMLLEV5ZB,37.0,37.0,tbd
21,AV8EJRIB8QWZX,34.0,34.0,tbd
20,A2Y5J8DNNKZ22F,59.0,59.0,tbd
19,AAN5C4AMUWMD,21.0,21.0,tbd
18,A18DLTHQXKDX0Y,55.0,51.0,tbd
17,A2UVJMJV1EOH9X,93.4,70.0,tbd
16,A3TUV36R7RR04T,75.0,89.0,tbd
15,AMT4E8LN165AD,104.0,104.0,tbd
14,A3AD23VEAJS66S,110.0,110.0,tbd
13,A3PIQY6PK42RIS,193.0,193.0,tbd
12,A1D48X3C6TN4PW,17.0,17.0,tbd
11,A3GT4VYROKAJVE,87.0,87.0,tbd
10,AVT0YEI6ESW25,111.0,111.0,tbd
9,A32UG2P47Y7M1A,99.0,99.0,tbd
8,AHGM882UX7S4T,195.0,195.0,tbd
7,A24NYOEYGCP900,100.0,100.0,tbd
6,AWT957C6LU7N5,147.0,147.0,tbd
5,A1KA386U8I40AB,112.0,112.0,tbd
4,A3RL1HDY0LSQOQ,410.0,410.0,tbd
3,A37BTYD4D4Q8U5,76.0,76.0,tbd
2,A21A44O7I88825,37.0,37.0,tbd
1,A1GKOXB766FPYV,128.0,128.0,tbd
