HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.inactive_id,Input.not_english_id,Input.personal_id,Input.brand_id,Input.travel_id,Input.beauty_id,Input.gastro_id,Input.politics_id,Input.style_id,Input.family_id,Input.sports_id,Input.other_id,Input.user_id,Answer.category_all_beauty,Answer.category_all_family,Answer.category_all_gastronomy,Answer.category_all_other,Answer.category_all_politics,Answer.category_all_sports,Answer.category_all_style,Answer.category_all_travel,Answer.category_most_index,Answer.classify_account,Answer.other_text,Approve,Reject
3A520CCNWOK2DVVJ4Q8TQ9GBY7SEAT,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3LKC68YZ3CNOJJ95PCCJ2U210BMOWR,A2439BKIPTF3QK,Submitted,Tue Oct 09 06:53:36 PDT 2018,Tue Oct 09 06:56:02 PDT 2018,Fri Oct 12 06:56:02 PDT 2018,,,,146,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,9.05460151196553E+017,category_beauty,,,,,,,,family,promoting,{},,
3A520CCNWOK2DVVJ4Q8TQ9GBY7SEAT,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3YGXWBAF721B1STIP1X9C2PTR44C4W,A23KAJRDVCVGOE,Submitted,Tue Oct 09 06:51:22 PDT 2018,Tue Oct 09 06:53:01 PDT 2018,Fri Oct 12 06:53:01 PDT 2018,,,,99,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,9.05460151196553E+017,,,,,,,,,,personal,,,
3A520CCNWOK2DVVJ4Q8TQ9GBY7SEAT,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3YT88D1N0AI82UM2H09OQGAVIDHK3W,AGNJKSH5LFKXZ,Submitted,Tue Oct 09 06:51:15 PDT 2018,Tue Oct 09 06:51:53 PDT 2018,Fri Oct 12 06:51:53 PDT 2018,,,,38,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,9.05460151196553E+017,,category_family,,,,,,,family,promoting,{},,
32L724R85M4LG437PSGH1J3YPMZIPM,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3MAOD8E57SULQYEJY28SPOG3J3NXNE,A14M2EERU7E8KD,Submitted,Tue Oct 09 06:53:30 PDT 2018,Tue Oct 09 07:07:17 PDT 2018,Fri Oct 12 07:07:17 PDT 2018,,,,827,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,8.94472096377704E+017,,category_family,,category_other,,,,,other,promoting,"HEALTH, women",,
32L724R85M4LG437PSGH1J3YPMZIPM,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3NVC2EB65SJ3MZBJLFAFZOP6GSQY35,ABMPX2Y2IRBMG,Submitted,Tue Oct 09 06:53:46 PDT 2018,Tue Oct 09 07:05:21 PDT 2018,Fri Oct 12 07:05:21 PDT 2018,,,,695,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,8.94472096377704E+017,,,,,,,,,,personal,,,
32L724R85M4LG437PSGH1J3YPMZIPM,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3TXD01ZLD617NMAIBSI968BZY4AU4N,APMGE1034C1LB,Submitted,Tue Oct 09 06:50:22 PDT 2018,Tue Oct 09 06:51:57 PDT 2018,Fri Oct 12 06:51:57 PDT 2018,,,,95,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,8.94472096377704E+017,,,category_gastronomy,category_other,,,category_style,category_travel,other,promoting,Health,,
3ACRLU860OY7W50BA48PLK0HGPDEBO,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,34HJIJKLP7G701ZIGISE2UDICBLV4F,AUI3R928P63B0,Submitted,Tue Oct 09 06:57:19 PDT 2018,Tue Oct 09 07:03:57 PDT 2018,Fri Oct 12 07:03:57 PDT 2018,,,,398,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,9.75484468235522E+017,,,,category_other,,,,,other,promoting,Blogging,,
3ACRLU860OY7W50BA48PLK0HGPDEBO,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3VNL7UK1XH32LPSIV4OISGMO4GFTFM,A1DXFMUVK5015A,Submitted,Tue Oct 09 07:03:50 PDT 2018,Tue Oct 09 07:15:33 PDT 2018,Fri Oct 12 07:15:33 PDT 2018,,,,703,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,9.75484468235522E+017,,category_family,,category_other,,,,,family,promoting,Health,,
3ACRLU860OY7W50BA48PLK0HGPDEBO,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3ZSY5X72NZVJBNSJQI2DFVUK8W6ORN,AW4AHMQ7EN4QI,Submitted,Tue Oct 09 06:50:22 PDT 2018,Tue Oct 09 06:54:45 PDT 2018,Fri Oct 12 06:54:45 PDT 2018,,,,263,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,9.75484468235522E+017,,,,,,,,,,personal,,,
38VTL6WC4BX3DU0T9VT6P1S5O5W5YT,3ML4SXAKAM6AR0IDVMYKEMRYJTD9BX,"Identify ""Self-promoting"" Twitter Accounts","Identify which Twitter accounts are used to promote the user's online career, expertise, or online presence.  Also categorize what domain the user specializes in.","twitter, user, categorization",$0.08,Tue Oct 09 06:49:39 PDT 2018,3,BatchId:3395262;OriginalHitTemplateId:920937340;,900,259200,Tue Oct 16 06:49:39 PDT 2018,,,3MH9DQ757YWNZ2326TKAFX82O9KUGB,A3I7BF8W78FQYA,Submitted,Tue Oct 09 06:55:03 PDT 2018,Tue Oct 09 06:55:23 PDT 2018,Fri Oct 12 06:55:23 PDT 2018,,,,20,0% (0/0),0% (0/0),0% (0/0),1YjSjnArcKlmtIyNbVUimjRhnXeGwXHpL,1qgZvxRAbVk0iBCJBB73I4CrwxbKbA_zd,1iH5Tv1OmovyhiwuvRWiOVioIWlGBhQlS,1u3n3mMmYcFCTMD5Yuhax2Xr1bYcGQU5r,11gtzS6xvMctmzjDfkAy6jKH6ERjnt1hx,16jQKjFZoCrU0GjAv-L3lnn3zDVV76etg,1eD8jx_qa7IF4_4bcmTkNgdrveLajXq89,1rJQsnbwTtoXFTRq37ATFSTGaJaPn2uX1,13lIg99ukplqrelqPpYNnqvtLj38ymZgp,1fKsoDk_FvW0kAoExhq_d7FelMt7xGXvU,1Ea005AV1cIe8fceJEyTCcYxNar59TUuJ,1gS6sArS_N21Cv52gwCdutF8dIq0Ky0gy,8.28015833767092E+017,,,,category_other,,,,category_travel,other,promoting,Photography,,
